memberID,firstName,lastName,email,phoneNumber,whatsappNumber,dob,leader,ministry,occupation,bacenta,centreCode,gender,maritalStatus,Rank
0001,Cris,Batcock,cbatcock0@themeforest.net,691-267-3948,323-897-6827,6/6/2008,,,Engineer,West End,11WES,Male,Single,Pastor
0002,Lani,Kilby,lkilby1@xing.com,983-588-8223,914-472-9888,12/14/1984,,Business Community,Doctor,West End,11WES,Female,Married,Pastor
0003,Val,Shropshire,vshropshire2@ftc.gov,,,11/21/2002,,Ushers,IT Professional,Nyanyano,05NYA,Male,Married,
0004,Town,Wolseley,twolseley3@booking.com,689-551-3937,175-658-6317,10/14/1982,,Communion Stars,Sales Agent,AIT,01AIT,Male,Single,Reverend
0005,Grete,Myton,gmyton4@wikipedia.org,,,11/3/2013,,Business Community,Driver,Tetegu,10TET,Female,Single,
0006,Alvis,Conkie,aconkie5@twitpic.com,,,7/8/2002,Leonardo McSparran,Business Community,Sales Agent,Liberia Camp,08LIB,Male,Married,
0007,Euphemia,Travers,etravers6@weibo.com,374-828-8540,111-580-6920,12/17/1995,,Ushers,Banker,Fiifi Down,05NYA,Female,Single,
0008,Hedi,Harpham,hharpham7@bloglines.com,767-134-4387,806-845-1265,5/11/1982,,Greater Love Choir,Driver,Iron City,06KAS,Female,Single,
0009,Murvyn,Caine,mcaine8@microsoft.com,,,9/10/1989,Perkin Sperrett,Greater Love Choir,Lawyer,West End,11WES,Male,Single,
0010,Silvanus,McMackin,smcmackin9@free.fr,931-830-3535,413-910-9431,1/14/2011,,Airport Stars,Banker,Kings,07KIN,Male,Single,Pastor
0011,Myranda,Knowlton,mknowltona@google.com,603-195-1611,708-401-2706,12/4/1995,,,Architect,Tetegu,10TET,Female,Married,
0012,Chiquia,Antonijevic,cantonijevicb@tiny.cc,157-332-7419,508-486-6084,3/10/1984,,Communion Stars,Teacher,Fiifi Down,05NYA,Female,Married,
0013,Abdul,Cranmore,acranmorec@twitter.com,,,4/10/2003,,,Engineer,Kasoa,06KAS,Male,Married,
0014,Freda,MacGillreich,fmacgillreichd@ameblo.jp,937-822-3682,338-608-0457,7/13/1981,,Airport Stars,,Tetegu,10TET,Female,Married,Pastor
0015,Damian,Cristofor,dcristofore@samsung.com,876-320-7486,506-223-9974,8/29/2000,Perkin Sperrett,Dancing Stars,Sales Agent,Kings,07KIN,Male,Single,
0016,Hubert,Duell,hduellf@goo.ne.jp,818-986-0089,747-159-1227,12/6/1980,,Ushers,Lawyer,Kasoa,06KAS,Male,Single,Reverend
0017,Josey,Bruyett,jbruyettg@forbes.com,,,3/15/1994,,Dancing Stars,Nurse,Tetegu,10TET,Female,Single,
0018,Frannie,Wolfe,fwolfeh@answers.com,,,4/8/2010,,Dancing Stars,IT Professional,West End,11WES,Female,Single,
0019,Andree,Skipsey,askipseyi@patch.com,438-773-8190,123-528-2035,7/13/1997,,Greater Love Choir,Engineer,Iron City,06KAS,Female,Single,
0020,Leigh,Polgreen,lpolgreenj@jiathis.com,,,11/13/1997,,Dancing Stars,IT Professional,Block Factory,03BLO,Male,Married,
0021,Bamby,Bigglestone,bbigglestonek@pcworld.com,884-263-5620,410-505-4379,12/11/1991,,Airport Stars,Engineer,Liberia Camp,08LIB,Female,Single,
0022,Elmore,Mikalski,emikalskil@comsenz.com,815-933-7776,774-806-8643,7/21/2005,Davide Gribbell,Communion Stars,Engineer,Fiifi Down,05NYA,Male,Single,
0023,Bengt,Housaman,bhousamanm@taobao.com,,,5/12/2007,,Airport Stars,Sales Agent,Kings,07KIN,Male,Married,
0024,Carmella,Ivanuschka,civanuschkan@printfriendly.com,500-541-4420,764-195-8759,7/9/1997,Leonardo McSparran,Greater Love Choir,Engineer,Kasoa,06KAS,Female,Single,
0025,Valencia,Brusin,vbrusino@wiley.com,112-202-4021,637-415-6433,10/13/1998,,Dancing Stars,Engineer,St Karols,09STK,Female,Married,
0026,Minnie,Cumpsty,mcumpstyp@soundcloud.com,785-123-8444,731-679-2757,9/19/1980,Perkin Sperrett,Business Community,Architect,Tetegu,10TET,Female,Single,
0027,Lorry,Woffinden,lwoffindenq@bbc.co.uk,627-656-1552,298-198-9259,11/24/1989,,,Driver,Fiifi Down,05NYA,Male,Single,
0028,Norri,Percival,npercivalr@icio.us,285-393-0431,760-532-6772,12/31/1991,,Film Stars,Architect,St Karols,09STK,Female,Single,
0029,Berkie,Proschek,bproscheks@businessinsider.com,257-822-9500,325-373-1166,8/20/1993,Leonardo McSparran,Dancing Stars,Doctor,Fiifi Down,05NYA,Male,Married,
0030,Moselle,Penhaleurack,mpenhaleurackt@huffingtonpost.com,823-694-4603,989-718-5399,10/24/2002,,Ushers,Driver,Liberia Camp,08LIB,Female,Married,
0031,Etta,Linstead,elinsteadu@icq.com,,,4/11/2015,,Dancing Stars,Sales Agent,American Down,02AME,Female,Single,
0032,Joell,Tomaselli,jtomaselliv@purevolume.com,,,1/21/1993,,Business Community,Driver,Columba,04COL,Female,Married,
0033,Antons,Deppe,adeppew@aboutads.info,274-160-6810,148-146-6327,1/4/1990,,Ushers,IT Professional,St Karols,09STK,Male,Single,
0034,Massimo,Hallam,mhallamx@flickr.com,233-892-6435,393-514-7617,8/31/2005,Perkin Sperrett,Ushers,Architect,Block Factory,03BLO,Male,Married,
